Ano,Mês,Posição,Música,Artista,Gênero
2022,Junho,2,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Junho,3,Pipoco,"Ana Castela, Melody, DJ Chris no Beat",Agronejo/Funk
2022,Junho,4,Balanço da Rede,"Matheus Fernandes, Xand Avião",Forró/Piseiro
2022,Junho,5,Dançarina,"Pedro Sampaio, MC Pedrinho",Funk
2022,Junho,6,Vampiro,"Matuê, WIU, Teto",Trap
2022,Junho,7,Tchuco Nela,"MC Rogerinho, Wesley Safadão",Bregadeira/Funk
2022,Junho,8,sentaDONA (Remix),"Luísa Sonza, Davi Kneip, Mc Frog, DJ Gabriel do Borel",Funk
2022,Junho,9,No Ouvidinho,Felipe Amorim,Forró/Piseiro
2022,Junho,10,Molhando o Volante,Jorge & Mateus,Sertanejo
2022,Julho,1,Pipoco,"Ana Castela, Melody, DJ Chris no Beat",Agronejo/Funk
2022,Julho,2,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Julho,3,Balanço da Rede,"Matheus Fernandes, Xand Avião",Forró/Piseiro
2022,Julho,4,ACORDA PEDRINHO,Jovem Dionisio,Indie/Pop
2022,Julho,5,Dengo,João Gomes,Piseiro
2022,Julho,6,Vampiro,"Matuê, WIU, Teto",Trap
2022,Julho,7,Tchuco Nela,"MC Rogerinho, Wesley Safadão",Bregadeira/Funk
2022,Julho,8,CACHORRINHAS,Luísa Sonza,Pop/Funk
2022,Julho,9,Comunicação Falhou (Ao Vivo),"Mari Fernandez, Nattan",Forró/Piseiro
2022,Julho,10,Erro Planejado (Ao Vivo),"Luan Santana, Henrique & Juliano",Sertanejo
2022,Agosto,1,Pipoco,"Ana Castela, Melody, DJ Chris no Beat",Agronejo/Funk
2022,Agosto,2,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Agosto,3,Comunicação Falhou (Ao Vivo),"Mari Fernandez, Nattan",Forró/Piseiro
2022,Agosto,4,Balanço da Rede,"Matheus Fernandes, Xand Avião",Forró/Piseiro
2022,Agosto,5,Dengo,João Gomes,Piseiro
2022,Agosto,6,CACHORRINHAS,Luísa Sonza,Pop/Funk
2022,Agosto,7,Eu Gosto Assim (Ao Vivo),"Gustavo Mioto, Mari Fernandez",Sertanejo/Forró
2022,Agosto,8,Seu Perfil (Ao Vivo),Henrique & Juliano,Sertanejo
2022,Agosto,9,Tchuco Nela,"MC Rogerinho, Wesley Safadão",Bregadeira/Funk
2022,Agosto,10,Coração Cigano (Ao Vivo),"Luan Santana, Luísa Sonza",Pop/Sertanejo
2022,Setembro,1,Pipoco,"Ana Castela, Melody, DJ Chris no Beat",Agronejo/Funk
2022,Setembro,2,Eu Gosto Assim (Ao Vivo),"Gustavo Mioto, Mari Fernandez",Sertanejo/Forró
2022,Setembro,3,Comunicação Falhou (Ao Vivo),"Mari Fernandez, Nattan",Forró/Piseiro
2022,Setembro,4,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Setembro,5,Coração Cigano (Ao Vivo),"Luan Santana, Luísa Sonza",Pop/Sertanejo
2022,Setembro,6,Balanço da Rede,"Matheus Fernandes, Xand Avião",Forró/Piseiro
2022,Setembro,7,Dengo,João Gomes,Piseiro
2022,Setembro,8,Seu Perfil (Ao Vivo),Henrique & Juliano,Sertanejo
2022,Setembro,9,Bombonzinho (Ao Vivo),"Israel & Rodolffo, Ana Castela",Sertanejo
2022,Setembro,10,CACHORRINHAS,Luísa Sonza,Pop/Funk
2022,Outubro,1,Eu Gosto Assim (Ao Vivo),"Gustavo Mioto, Mari Fernandez",Sertanejo/Forró
2022,Outubro,2,Pipoco,"Ana Castela, Melody, DJ Chris no Beat",Agronejo/Funk
2022,Outubro,3,Bombonzinho (Ao Vivo),"Israel & Rodolffo, Ana Castela",Sertanejo
2022,Outubro,4,Comunicação Falhou (Ao Vivo),"Mari Fernandez, Nattan",Forró/Piseiro
2022,Outubro,5,Coração Cigano (Ao Vivo),"Luan Santana, Luísa Sonza",Pop/Sertanejo
2022,Outubro,6,Seu Perfil (Ao Vivo),Henrique & Juliano,Sertanejo
2022,Outubro,7,Palhaça (Ao Vivo),"Naiara Azevedo, Ana Castela",Sertanejo
2022,Outubro,8,Haja Colírio (Ao Vivo),"Guilherme & Benuto, Hugo & Guilherme",Sertanejo
2022,Outubro,9,Botadinha Saliente,MC Rogerinho,Forró/Funk
2022,Outubro,10,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Novembro,1,Eu Gosto Assim (Ao Vivo),"Gustavo Mioto, Mari Fernandez",Sertanejo/Forró
2022,Novembro,2,Bombonzinho (Ao Vivo),"Israel & Rodolffo, Ana Castela",Sertanejo
2022,Novembro,3,Pipoco,"Ana Castela, Melody, DJ Chris no Beat",Agronejo/Funk
2022,Novembro,4,Haja Colírio (Ao Vivo),"Guilherme & Benuto, Hugo & Guilherme",Sertanejo
2022,Novembro,5,Comunicação Falhou (Ao Vivo),"Mari Fernandez, Nattan",Forró/Piseiro
2022,Novembro,6,Mal Feito (Ao Vivo),"Hugo & Guilherme, Marília Mendonça",Sertanejo
2022,Novembro,7,Malvadão 3,"Xamã, Gustah, Neo Beats",Rap/Trap
2022,Novembro,8,Coração Cigano (Ao Vivo),"Luan Santana, Luísa Sonza",Pop/Sertanejo
2022,Novembro,9,Palhaça (Ao Vivo),"Naiara Azevedo, Ana Castela",Sertanejo
2022,Novembro,10,Leão,Marília Mendonça,Sertanejo
2022,Dezembro,1,Malvada,Zé Felipe,Forró/Funk
2022,Dezembro,2,Mal Feito (Ao Vivo),"Hugo & Guilherme, Marília Mendonça",Sertanejo
2022,Dezembro,3,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,Sertanejo
2022,Dezembro,4,Pipoco,"Ana Castela, Melody, DJ Chris no Beat",Agronejo/Funk
2022,Dezembro,5,Malvadão 3,"Xamã, Gustah, Neo Beats",Rap/Trap
2022,Dezembro,6,Bombonzinho (Ao Vivo),"Israel & Rodolffo, Ana Castela",Sertanejo
2022,Dezembro,7,Eu Gosto Assim (Ao Vivo),"Gustavo Mioto, Mari Fernandez",Sertanejo/Forró
2022,Dezembro,8,Dançarina,"Pedro Sampaio, MC Pedrinho",Funk
2022,Dezembro,9,Balanço da Rede,"Matheus Fernandes, Xand Avião",Forró/Piseiro
2022,Dezembro,10,Vontade de Morder,"Simone & Simaria, Zé Felipe",Sertanejo/Forró
2021,Janeiro,1,Recairei (Ao Vivo),Os Barões da Pisadinha,Forró/Piseiro
2021,Janeiro,2,Facas (Ao Vivo),"Diego & Victor Hugo, Bruno & Marrone",Sertanejo
2021,Janeiro,3,Lance Individual,Jorge & Mateus,Sertanejo
2021,Janeiro,4,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",Pop/Funk
2021,Janeiro,5,Blinding Lights,The Weeknd,Pop/Synthwave
2021,Janeiro,6,Pulei na Piscina (Ao Vivo),Guilherme & Benuto,Sertanejo
2021,Janeiro,7,positions,Ariana Grande,Pop/R&B
2021,Janeiro,8,Basta Você Me Ligar (Ao Vivo),"Os Barões da Pisadinha, Xand Avião",Forró/Piseiro
2021,Janeiro,9,Don't Start Now,Dua Lipa,Pop/Disco
2021,Janeiro,10,Watermelon Sugar,Harry Styles,Pop/Rock
2021,Fevereiro,1,Batom de Cereja (Ao Vivo),Israel & Rodolffo,Sertanejo/Pisadinha
2021,Fevereiro,2,Facas (Ao Vivo),"Diego & Victor Hugo, Bruno & Marrone",Sertanejo
2021,Fevereiro,3,Rita,Tierry,Sertanejo/Arrocha
2021,Fevereiro,4,Recairei (Ao Vivo),Os Barões da Pisadinha,Forró/Piseiro
2021,Fevereiro,5,"Ele é Ele, Eu Sou Eu","Wesley Safadão, Os Barões da Pisadinha",Forró Eletrônico
2021,Fevereiro,6,Café e Amor,Gusttavo Lima,Sertanejo
2021,Fevereiro,7,Pulei na Piscina (Ao Vivo),Guilherme & Benuto,Sertanejo
2021,Fevereiro,8,Blinding Lights,The Weeknd,Pop/Synthwave
2021,Fevereiro,9,Amor ou o Litrão,"Mila, Menor Nico, Petter Ferraz",Funk/Brega Funk
2021,Fevereiro,10,positions,Ariana Grande,Pop/R&B
2021,Março,1,Amores E Flores,Melim,Pop
2021,Março,2,"Ele é Ele, Eu Sou Eu","Wesley Safadão, Os Barões da Pisadinha",Forró Eletrônico
2021,Março,3,positions,Ariana Grande,Pop/R&B
2021,Março,4,Rita,Tierry,Sertanejo/Arrocha
2021,Março,5,Era Uma Vez,Thiaguinho,Pagode
2021,Março,6,Café e Amor,Gusttavo Lima,Sertanejo
2021,Março,7,Facas (Ao Vivo),"Diego & Victor Hugo, Bruno & Marrone",Sertanejo
2021,Março,8,Eu Não Sou de Me Entregar,Ferrugem,Pagode
2021,Março,9,Me Gusta,"Anitta, Cardi B, Myke Towers",Pop/Funk
2021,Março,10,Mood,"24kGoldn, Iann Dior",Hip-Hop/Pop Rap
2021,Abril,1,Batom de Cereja (Ao Vivo),Israel & Rodolffo,Sertanejo/Pisadinha
2021,Abril,2,Facas (Ao Vivo),"Diego & Victor Hugo, Bruno & Marrone",Sertanejo
2021,Abril,3,Sigilo,Guilherme & Benuto,Sertanejo
2021,Abril,4,Despedida de Casal,Gustavo Mioto,Sertanejo
2021,Abril,5,Ficha Limpa,Gusttavo Lima,Sertanejo
2021,Abril,6,Último Beijo,"Bruno & Marrone, Wesley Safadão",Sertanejo
2021,Abril,7,Eu Topo,Sorriso Maroto,Pagode
2021,Abril,8,"Ele é Ele, Eu Sou Eu","Wesley Safadão, Os Barões da Pisadinha",Forró Eletrônico
2021,Abril,9,Vou Ver e Te Aviso,Pixote,Pagode
2021,Abril,10,Café e Amor,Gusttavo Lima,Sertanejo
2021,Maio,1,Batom de Cereja (Ao Vivo),Israel & Rodolffo,Sertanejo/Pisadinha
2021,Maio,2,Facas (Ao Vivo),"Diego & Victor Hugo, Bruno & Marrone",Sertanejo
2021,Maio,3,Sigilo,Guilherme & Benuto,Sertanejo
2021,Maio,4,"Ele é Ele, Eu Sou Eu","Wesley Safadão, Os Barões da Pisadinha",Forró Eletrônico
2021,Maio,5,Despedida de Casal,Gustavo Mioto,Sertanejo
2021,Maio,6,good 4 u,Olivia Rodrigo,Pop/Rock
2021,Maio,7,Ficha Limpa,Gusttavo Lima,Sertanejo
2021,Maio,8,Baby Me Atende,"Matheus Fernandes, Dilsinho",Forró/Piseiro
2021,Maio,9,"Volta Bebê, Volta Neném","DJ Guuga, DJ Ivis",Forró/Funk
2021,Maio,10,Morena,Luan Santana,Sertanejo/Bachata
2021,Junho,1,Batom de Cereja (Ao Vivo),Israel & Rodolffo,Sertanejo/Pisadinha
2021,Junho,2,Facas (Ao Vivo),"Diego & Victor Hugo, Bruno & Marrone",Sertanejo
2021,Junho,3,Ficha Limpa,Gusttavo Lima,Sertanejo
2021,Junho,4,Morena,Luan Santana,Sertanejo/Bachata
2021,Junho,5,Despedida de Casal,Gustavo Mioto,Sertanejo
2021,Junho,6,Sigilo,Guilherme & Benuto,Sertanejo
2021,Junho,7,"Volta Bebê, Volta Neném","DJ Guuga, DJ Ivis",Forró/Funk
2021,Junho,8,Baby Me Atende,"Matheus Fernandes, Dilsinho",Forró/Piseiro
2021,Junho,9,Coração na Cama,Hugo & Guilherme,Sertanejo
2021,Junho,10,Último Beijo,"Bruno & Marrone, Wesley Safadão",Sertanejo
2021,Julho,1,Ficha Limpa,Gusttavo Lima,Sertanejo
2021,Julho,2,Batom de Cereja (Ao Vivo),Israel & Rodolffo,Sertanejo/Pisadinha
2021,Julho,3,Morena,Luan Santana,Sertanejo/Bachata
2021,Julho,4,Facas (Ao Vivo),"Diego & Victor Hugo, Bruno & Marrone",Sertanejo
2021,Julho,5,Despedida de Casal,Gustavo Mioto,Sertanejo
2021,Julho,6,Sigilo,Guilherme & Benuto,Sertanejo
2021,Julho,7,Desbloqueado,Diego & Victor Hugo,Sertanejo
2021,Julho,8,Baby Me Atende,"Matheus Fernandes, Dilsinho",Forró/Piseiro
2021,Julho,9,Arranhão,Henrique & Juliano,Sertanejo
2021,Julho,10,Coração na Cama,Hugo & Guilherme,Sertanejo
2021,Agosto,1,Meu Pedaço de Pecado,João Gomes,Forró/Piseiro
2021,Agosto,2,Morena,Luan Santana,Sertanejo/Bachata
2021,Agosto,3,Ficha Limpa,Gusttavo Lima,Sertanejo
2021,Agosto,4,Baby Me Atende,"Matheus Fernandes, Dilsinho",Forró/Piseiro
2021,Agosto,5,STAY,"The Kid LAROI, Justin Bieber",Pop/Synth-pop
2021,Agosto,6,Arranhão,Henrique & Juliano,Sertanejo
2021,Agosto,7,Desbloqueado,Diego & Victor Hugo,Sertanejo
2021,Agosto,8,MONTERO (Call Me By Your Name),Lil Nas X,Pop/Hip-Hop
2021,Agosto,9,good 4 u,Olivia Rodrigo,Pop/Rock
2021,Agosto,10,Batom de Cereja (Ao Vivo),Israel & Rodolffo,Sertanejo/Pisadinha
2021,Setembro,1,Ficha Limpa,Gusttavo Lima,Sertanejo
2021,Setembro,2,Morena,Luan Santana,Sertanejo/Bachata
2021,Setembro,3,Meu Pedaço de Pecado,João Gomes,Forró/Piseiro
2021,Setembro,4,Baby Me Atende,"Matheus Fernandes, Dilsinho",Forró/Piseiro
2021,Setembro,5,Desbloqueado,Diego & Victor Hugo,Sertanejo
2021,Setembro,6,Arranhão,Henrique & Juliano,Sertanejo
2021,Setembro,7,Sigilo,Guilherme & Benuto,Sertanejo
2021,Setembro,8,Moça do Caixa,Raffa Torres,Sertanejo
2021,Setembro,9,Último Beijo,"Bruno & Marrone, Wesley Safadão",Sertanejo
2021,Setembro,10,Você Beberia ou Não Beberia?,Zé Neto & Cristiano,Sertanejo
2021,Outubro,1,A Queda,Gloria Groove,Pop
2021,Outubro,2,Coração Cachorro,"Ávine Vinny, Matheus Fernandes",Forró Eletrônico
2021,Outubro,3,Vai Lá Em Casa Hoje,"George Henrique & Rodrigo, Marília Mendonça",Sertanejo
2021,Outubro,4,Ameaça,"Paulo Pires, MC Danny, Marcynho Sensação",Forró/Brega Funk
2021,Outubro,5,Arranhão,Henrique & Juliano,Sertanejo
2021,Outubro,6,Meu Pedaço de Pecado,João Gomes,Forró/Piseiro
2021,Outubro,7,Morena,Luan Santana,Sertanejo/Bachata
2021,Outubro,8,Não Parei de Sofrer,Gustavo Mioto,Sertanejo
2021,Outubro,9,Ficha Limpa,Gusttavo Lima,Sertanejo
2021,Outubro,10,drivers license,Olivia Rodrigo,Pop
2021,Novembro,1,Esqueça-Me Se For Capaz,"Marília Mendonça, Maiara & Maraisa",Sertanejo
2021,Novembro,2,Coração Cachorro,"Ávine Vinny, Matheus Fernandes",Forró Eletrônico
2021,Novembro,3,A Queda,Gloria Groove,Pop
2021,Novembro,4,Arranhão,Henrique & Juliano,Sertanejo
2021,Novembro,5,Vai Lá Em Casa Hoje,"George Henrique & Rodrigo, Marília Mendonça",Sertanejo
2021,Novembro,6,Morena,Luan Santana,Sertanejo/Bachata
2021,Novembro,7,Meu Pedaço de Pecado,João Gomes,Forró/Piseiro
2021,Novembro,8,Não Parei de Sofrer,Gustavo Mioto,Sertanejo
2021,Novembro,9,Aquelas Coisas,João Gomes,Forró/Piseiro
2021,Novembro,10,Batom de Cereja (Ao Vivo),Israel & Rodolffo,Sertanejo/Pisadinha
2021,Dezembro,1,Coração Cachorro,"Ávine Vinny, Matheus Fernandes",Forró Eletrônico
2021,Dezembro,2,Esqueça-Me Se For Capaz,"Marília Mendonça, Maiara & Maraisa",Sertanejo
2021,Dezembro,3,A Queda,Gloria Groove,Pop
2021,Dezembro,4,Arranhão,Henrique & Juliano,Sertanejo
2021,Dezembro,5,Meu Pedaço de Pecado,João Gomes,Forró/Piseiro
2021,Dezembro,6,Vai Lá Em Casa Hoje,"George Henrique & Rodrigo, Marília Mendonça",Sertanejo
2021,Dezembro,7,Batom de Cereja (Ao Vivo),Israel & Rodolffo,Sertanejo/Pisadinha
2021,Dezembro,8,Morena,Luan Santana,Sertanejo/Bachata
2021,Dezembro,9,Não Parei de Sofrer,Gustavo Mioto,Sertanejo
2021,Dezembro,10,Aquelas Coisas,João Gomes,Forró/Piseiro
2020,Janeiro,1,Liberdade Provisória,Henrique & Juliano,Sertanejo
2020,Janeiro,2,Aí Eu Bebo,Maiara & Maraisa,Sertanejo
2020,Janeiro,3,A Gente Fez Amor,Gusttavo Lima,Sertanejo / Bachata
2020,Janeiro,4,Bebi Minha Bicicleta,Zé Neto & Cristiano,Sertanejo
2020,Janeiro,5,Combatchy,"Anitta, Lexa, Luísa Sonza & MC Rebecca",Funk / Pop
2020,Janeiro,6,Don't Start Now,Dua Lipa,Pop / Disco
2020,Janeiro,7,Surtada (Remix),"Dadá Boladão, Tati Zaqui & OIK",Brega Funk
2020,Janeiro,8,Dance Monkey,Tones and I,Pop
2020,Janeiro,9,SENTADÃO,"Felipe Original, JS o Mão de Ouro & Pedro Sampaio",Brega Funk
2020,Janeiro,10,Cheirosa,Jorge & Mateus,Sertanejo / Bachata
2020,Fevereiro,1,Tudo OK,"Thiaguinho MT, Mila & JS o Mão de Ouro",Brega Funk
2020,Fevereiro,2,Liberdade Provisória,Henrique & Juliano,Sertanejo
2020,Fevereiro,3,SENTADÃO,"Felipe Original, JS o Mão de Ouro & Pedro Sampaio",Brega Funk
2020,Fevereiro,4,Vem Me Satisfazer,DJ Henrique da VK & MC Ingryd,Funk
2020,Fevereiro,5,Combatchy,"Anitta, Lexa, Luísa Sonza & MC Rebecca",Funk / Pop
2020,Fevereiro,6,A Gente Fez Amor,Gusttavo Lima,Sertanejo / Bachata
2020,Fevereiro,7,Surtada (Remix),"Dadá Boladão, OIK & Tati Zaqui",Brega Funk
2020,Fevereiro,8,Graveto,Marília Mendonça,Sertanejo / Sofrência
2020,Fevereiro,9,S de Saudade,Luíza & Maurílio part. Zé Neto & Cristiano,Sertanejo
2020,Fevereiro,10,Rave de Favela,"Anitta, MC Lan & Major Lazer",Funk / Eletrônica
2020,Março,1,Liberdade Provisória,Henrique & Juliano,Sertanejo
2020,Março,2,A Gente Fez Amor,Gusttavo Lima,Sertanejo / Bachata
2020,Março,3,Graveto,Marília Mendonça,Sertanejo / Sofrência
2020,Março,4,Com ou Sem Mim,Gustavo Mioto,Sertanejo / Pop
2020,Março,5,S de Saudade,Luíza & Maurílio part. Zé Neto & Cristiano,Sertanejo
2020,Março,6,Don't Start Now,Dua Lipa,Pop / Disco
2020,Março,7,Dance Monkey,Tones and I,Pop
2020,Março,8,Braba,Luísa Sonza,Pop / Funk
2020,Março,9,Cheirosa,Jorge & Mateus,Sertanejo / Bachata
2020,Março,10,SENTADÃO,"Felipe Original, JS o Mão de Ouro & Pedro Sampaio",Brega Funk
2020,Abril,1,Liberdade Provisória,Henrique & Juliano,Sertanejo
2020,Abril,2,A Gente Fez Amor,Gusttavo Lima,Sertanejo / Bachata
2020,Abril,3,Graveto,Marília Mendonça,Sertanejo / Sofrência
2020,Abril,4,Com ou Sem Mim,Gustavo Mioto,Sertanejo / Pop
2020,Abril,5,Oh Juliana,MC Niack,Funk
2020,Abril,6,S de Saudade,Luíza & Maurílio part. Zé Neto & Cristiano,Sertanejo
2020,Abril,7,Don't Start Now,Dua Lipa,Pop / Disco
2020,Abril,8,Dance Monkey,Tones and I,Pop
2020,Abril,9,Braba,Luísa Sonza,Pop / Funk
2020,Abril,10,Romance Proibido,MC Kevin o Chris,Funk 150 BPM
2020,Maio,1,Liberdade Provisória,Henrique & Juliano,Sertanejo
2020,Maio,2,Oh Juliana,MC Niack,Funk
2020,Maio,3,A Gente Fez Amor,Gusttavo Lima,Sertanejo / Bachata
2020,Maio,4,Graveto,Marília Mendonça,Sertanejo / Sofrência
2020,Maio,5,Com ou Sem Mim,Gustavo Mioto,Sertanejo / Pop
2020,Maio,6,Barzinho Aleatório,Zé Neto & Cristiano,Sertanejo
2020,Maio,7,Don't Start Now,Dua Lipa,Pop / Disco
2020,Maio,8,Dance Monkey,Tones and I,Pop
2020,Maio,9,menina solta,GIULIA BE,Pop
2020,Maio,10,S de Saudade,Luíza & Maurílio part. Zé Neto & Cristiano,Sertanejo
2020,Junho,1,Na Raba Toma Tapão,MC Niack,Funk
2020,Junho,2,Liberdade Provisória,Henrique & Juliano,Sertanejo
2020,Junho,3,A Gente Fez Amor,Gusttavo Lima,Sertanejo / Bachata
2020,Junho,4,Desce pro Play (Pa Pa Pa),"MC Zaac, Anitta & Tyga",Funk / Hip-Hop
2020,Junho,5,Flores,Luísa Sonza & Vitão,Pop / R&B
2020,Junho,6,Graveto,Marília Mendonça,Sertanejo / Sofrência
2020,Junho,7,Com ou Sem Mim,Gustavo Mioto,Sertanejo / Pop
2020,Junho,8,Oh Juliana,MC Niack,Funk
2020,Junho,9,Don't Start Now,Dua Lipa,Pop / Disco
2020,Junho,10,Blinding Lights,The Weeknd,Pop / Synth-pop
2020,Julho,1,Na Raba Toma Tapão,MC Niack,Funk
2020,Julho,2,Asas,Luan Santana,Pop / Sertanejo
2020,Julho,3,A Vida é Um Rio,Raffa Torres,Sertanejo
2020,Julho,4,Desce pro Play (Pa Pa Pa),"MC Zaac, Anitta & Tyga",Funk / Hip-Hop
2020,Julho,5,Flores,Luísa Sonza & Vitão,Pop / R&B
2020,Julho,6,Liberdade Provisória,Henrique & Juliano,Sertanejo
2020,Julho,7,A Gente Fez Amor,Gusttavo Lima,Sertanejo / Bachata
2020,Julho,8,Blinding Lights,The Weeknd,Pop / Synth-pop
2020,Julho,9,Com ou Sem Mim,Gustavo Mioto,Sertanejo / Pop
2020,Julho,10,Graveto,Marília Mendonça,Sertanejo / Sofrência
2020,Agosto,1,Na Raba Toma Tapão,MC Niack,Funk
2020,Agosto,2,Investe em Mim,Jonas Esticado,Forró / Sertanejo
2020,Agosto,3,Asas,Luan Santana,Pop / Sertanejo
2020,Agosto,4,Desce pro Play (Pa Pa Pa),"MC Zaac, Anitta & Tyga",Funk / Hip-Hop
2020,Agosto,5,Liberdade Provisória,Henrique & Juliano,Sertanejo
2020,Agosto,6,Blinding Lights,The Weeknd,Pop / Synth-pop
2020,Agosto,7,Flores,Luísa Sonza & Vitão,Pop / R&B
2020,Agosto,8,A Gente Fez Amor,Gusttavo Lima,Sertanejo / Bachata
2020,Agosto,9,A Vida é Um Rio,Raffa Torres,Sertanejo
2020,Agosto,10,menina solta,GIULIA BE,Pop
2020,Setembro,1,Recairei,Os Barões da Pisadinha,Pisadinha / Forró
2020,Setembro,2,Investe em Mim,Jonas Esticado,Forró / Sertanejo
2020,Setembro,3,Na Raba Toma Tapão,MC Niack,Funk
2020,Setembro,4,Blinding Lights,The Weeknd,Pop / Synth-pop
2020,Setembro,5,Asas,Luan Santana,Pop / Sertanejo
2020,Setembro,6,Desce pro Play (Pa Pa Pa),"MC Zaac, Anitta & Tyga",Funk / Hip-Hop
2020,Setembro,7,Ferida Curada,Henrique & Juliano,Sertanejo
2020,Setembro,8,Flores,Luísa Sonza & Vitão,Pop / R&B
2020,Setembro,9,Pulei na Piscina,Guilherme & Benuto,Sertanejo
2020,Setembro,10,Watermelon Sugar,Harry Styles,Pop / Rock
2020,Outubro,1,Recairei,Os Barões da Pisadinha,Pisadinha / Forró
2020,Outubro,2,Investe em Mim,Jonas Esticado,Forró / Sertanejo
2020,Outubro,3,Rita,Tierry,Sertanejo / Arrocha
2020,Outubro,4,Blinding Lights,The Weeknd,Pop / Synth-pop
2020,Outubro,5,Volta por Baixo,Henrique & Juliano,Sertanejo
2020,Outubro,6,Litrão,Matheus & Kauan,Sertanejo
2020,Outubro,7,Me Gusta,"Anitta, Myke Towers & Cardi B",Pop / Funk
2020,Outubro,8,Watermelon Sugar,Harry Styles,Pop / Rock
2020,Outubro,9,Bebaça,Zé Neto & Cristiano,Sertanejo
2020,Outubro,10,Bipolar,"MC Don Juan, MC Davi & MC Ryan SP",Funk
2020,Novembro,1,Recairei,Os Barões da Pisadinha,Pisadinha / Forró
2020,Novembro,2,Investe em Mim,Jonas Esticado,Forró / Sertanejo
2020,Novembro,3,Rita,Tierry,Sertanejo / Arrocha
2020,Novembro,4,Blinding Lights,The Weeknd,Pop / Synth-pop
2020,Novembro,5,Litrão,Matheus & Kauan,Sertanejo
2020,Novembro,6,Só Tem Eu,Zé Felipe & Virgínia,Sertanejo / Pisadinha
2020,Novembro,7,Bipolar,"MC Don Juan, MC Davi & MC Ryan SP",Funk
2020,Novembro,8,Watermelon Sugar,Harry Styles,Pop / Rock
2020,Novembro,9,Amor ou o Litrão,Menor Nico e Petter Ferraz,Brega Funk
2020,Novembro,10,Volta por Baixo,Henrique & Juliano,Sertanejo
2020,Dezembro,1,Recairei,Os Barões da Pisadinha,Pisadinha / Forró
2020,Dezembro,2,Rita,Tierry,Sertanejo / Arrocha
2020,Dezembro,3,Investe em Mim,Jonas Esticado,Forró / Sertanejo
2020,Dezembro,4,Modo Turbo,"Luísa Sonza, Pabllo Vittar & Anitta",Pop / Funk
2020,Dezembro,5,Blinding Lights,The Weeknd,Pop / Synth-pop
2020,Dezembro,6,Só Tem Eu,Zé Felipe & Virgínia,Sertanejo / Pisadinha
2020,Dezembro,7,Litrão,Matheus & Kauan,Sertanejo
2020,Dezembro,8,Amor ou o Litrão,Menor Nico e Petter Ferraz,Brega Funk
2020,Dezembro,9,Watermelon Sugar,Harry Styles,Pop / Rock
2020,Dezembro,10,Faz Amor Comigo Só Hoje,Israel & Rodolffo,Sertanejo
2019,Janeiro,1,"Felipe Araújo, Ferrugem",Atrasadinha,Pagode / Sertanejo
2019,Janeiro,2,Gabriel Diniz,Jenifer,Forró
2019,Janeiro,3,Zé Neto & Cristiano,Notificação Preferida,Sertanejo
2019,Janeiro,4,Marília Mendonça,Ciumeira,Sertanejo
2019,Janeiro,5,"MC Kevinho, Dennis DJ",Agora é Tudo Meu,Funk
2019,Janeiro,6,"Márcia Fellipe, Jerry Smith",Quem Me Dera,Forró / Funk
2019,Janeiro,7,Gusttavo Lima,Zé da Recaída,Sertanejo
2019,Janeiro,8,"MC L da Vinte, MC Gury",Parado no Bailão,Funk
2019,Janeiro,9,Vitor Kley,O Sol,Pop / Reggae
2019,Janeiro,10,Melim,Ouvi Dizer,Pop
2019,Fevereiro,1,Gabriel Diniz,Jenifer,Forró
2019,Fevereiro,2,"Felipe Araújo, Ferrugem",Atrasadinha,Pagode / Sertanejo
2019,Fevereiro,3,Marília Mendonça,Ciumeira,Sertanejo
2019,Fevereiro,4,Zé Neto & Cristiano,Notificação Preferida,Sertanejo
2019,Fevereiro,5,"Anitta, Kevinho",Terremoto,Pop / Funk
2019,Fevereiro,6,"Márcia Fellipe, Jerry Smith",Quem Me Dera,Forró / Funk
2019,Fevereiro,7,"MC Kevinho, Dennis DJ",Agora é Tudo Meu,Funk
2019,Fevereiro,8,Gustavo Mioto,Solteiro Não Trai,Sertanejo
2019,Fevereiro,9,Zé Neto & Cristiano,Estado Decadente,Sertanejo
2019,Fevereiro,10,"Anitta, Tropkillaz, J Balvin, MC Zaac",Bola Rebola,Funk / Pop
2019,Março,1,Gabriel Diniz,Jenifer,Forró
2019,Março,2,Marília Mendonça,Ciumeira,Sertanejo
2019,Março,3,"Felipe Araújo, Ferrugem",Atrasadinha,Pagode / Sertanejo
2019,Março,4,Zé Neto & Cristiano,Estado Decadente,Sertanejo
2019,Março,5,Gustavo Mioto,Solteiro Não Trai,Sertanejo
2019,Março,6,Jorge & Mateus,Tijolão,Sertanejo
2019,Março,7,"Anitta, Kevinho",Terremoto,Pop / Funk
2019,Março,8,"Márcia Fellipe, Jerry Smith",Quem Me Dera,Forró / Funk
2019,Março,9,Gusttavo Lima,Cem Mil,Sertanejo
